"id","date","artists","details","info","location","title"
"2-0","2016-10-02 11:00:00 +0200","Musiciens De l’ONBA","Grand-Théâtre de Bordeaux","","",""
"3-2","2016-10-03 18:00:00 +0200","Ravel, Compositeur Patriote","Grand Théâtre - Salon Fouquet","","",""
"6-4","2016-10-06 20:00:00 +0200","Ravel / Boulez / Wagner","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel / Nathalie Stutzmann","",""
"6-6","2016-10-06 20:00:00 +0200","Fab Festival","Auditorium de l'Opéra de Bordeaux","","",""
"7-8","2016-10-07 12:30:00 +0200","Chœur De l’Opéra National De Bordeaux","Grand-Théâtre de Bordeaux","Voyage à Buenos Aires ","",""
"7-10","2016-10-07 19:00:00 +0200","Fab Festival","Auditorium de l'Opéra de Bordeaux","","",""
"7-12","2016-10-07 19:00:00 +0200","Ravel / Boulez / Wagner","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel / Nathalie Stutzmann","",""
"8-14","2016-10-08 16:00:00 +0200","Flâneries Italiennes","Bordeaux","","",""
"11-16","2016-10-11 18:00:00 +0200","Fab Festival","Pessac","","",""
"12-18","2016-10-12 18:30:00 +0200","Fab Festival","Le Taillan-Médoc","","",""
"12-20","2016-10-12 20:00:00 +0200","Cécile Mclorin Salvant","Auditorium de l'Opéra de Bordeaux","Aaron Diehl Trio","",""
"13-22","2016-10-13 19:00:00 +0200","Fab Festival","Carbon-Blanc","","",""
"15-24","2016-10-15 15:00:00 +0200","Bayreuth 2016","Grand-Théâtre, Salon Lalande","","",""
"18-26","2016-10-18 19:00:00 +0200","Les Grands Airs d'Opéra","Biganos","","",""
"19-28","2016-10-19 17:30:00 +0200","Les 7 Péchés Capitaux","Bordeaux","","",""
"25-30","2016-10-25 18:00:00 +0200","A Propos De La Symphonie n°11 De Chostakovitch","Grand Théâtre - Salon Fouquet","","",""
"27-32","2016-10-27 20:00:00 +0200","Ravel / Sibelius / Chostakovitch","Auditorium de l'Opéra de Bordeaux","ONBA / Tito Ceccherini / Sergey Khachatryan","",""
"28-34","2016-10-28 19:00:00 +0200","À La Découverte De l’Orchestre","Auditorium de l'Opéra de Bordeaux","Chostakovitch","","dès 9 ans"
"29-36","2016-10-29 20:00:00 +0200","Juan Carmona Septet","Auditorium de l'Opéra de Bordeaux","Soirée flamenco « Alchemya »","",""
"3-38","2016-11-03 18:00:00 +0200","Rencontre Avec Les Artistes : La Tempête","Grand-Théâtre de Bordeaux","","",""
"3-40","2016-11-03 20:00:00 +0200","120 Ans De La Librairie Mollat","Auditorium de l'Opéra de Bordeaux","Le Concert Spirituel / Hervé Niquet","",""
"4-42","2016-11-04 20:00:00 +0200","La Tempête","Grand-Théâtre de Bordeaux","Mauricio Wainrot / Philip Glass","",""
"5-44","2016-11-05 11:00:00 +0200","Lumières Pour Enfants","Grand-Théâtre, Salon Boireau","Petite conférence ","","dès 10 ans"
"6-46","2016-11-06 11:00:00 +0200","Quatuor d’Anches De l’ONBA","Grand-Théâtre de Bordeaux","Dominique Baudouin / Thomas Lachaise / Jérôme Simonpoli / Sandrine Vasseur","",""
"6-48","2016-11-06 15:00:00 +0200","Armide","Auditorium de l'Opéra de Bordeaux","Christoph Willibald Gluck","",""
"7-50","2016-11-07 20:00:00 +0200","La Tempête","Grand-Théâtre de Bordeaux","Mauricio Wainrot / Philip Glass","",""
"8-52","2016-11-08 19:30:00 +0200","Armide De Gluck","Philharmonie de Paris","","",""
"8-54","2016-11-08 20:00:00 +0200","La Tempête","Grand-Théâtre de Bordeaux","Mauricio Wainrot / Philip Glass","",""
"9-56","2016-11-09 17:30:00 +0200","La Méditerranée À l’Honneur","Bordeaux","","",""
"9-58","2016-11-09 19:00:00 +0200","Pierre Et Le Loup","Auditorium de l'Opéra de Bordeaux","Sergueï Prokofiev","","dès 6 ans"
"9-60","2016-11-09 20:00:00 +0200","La Tempête","Grand-Théâtre de Bordeaux","Mauricio Wainrot / Philip Glass","",""
"10-62","2016-11-10 20:00:00 +0200","La Tempête","Grand-Théâtre de Bordeaux","Mauricio Wainrot / Philip Glass","",""
